Index,ID,x,y,Region,Source,Species,Presence
164,CBNA_369917,4.70253,44.4499,Apennines,CBNA,Dianthus sylvestris ssp longicaulis,1
165,CBNA_377217,5.834841,44.784528,Central,CBNA,Dianthus sylvestris ssp sylvestris,1
166,CBNA_379183,6.04357,45.0664,Central,CBNA,Dianthus sylvestris ssp sylvestris,1
167,CBNA_412025,6.23197,46.1778,Central,CBNA,Dianthus sylvestris ssp sylvestris,1
168,CBNA_412059,5.94332,46.2673,Central,CBNA,Dianthus sylvestris ssp sylvestris,1
169,CBNA_412167,5.92727,46.2577,Central,CBNA,Dianthus sylvestris ssp sylvestris,1
170,CBNA_412172,5.93113,46.2586,Central,CBNA,Dianthus sylvestris ssp sylvestris,1
171,CBNA_412178,5.92608,46.2524,Central,CBNA,Dianthus sylvestris ssp sylvestris,1
172,CBNA_412182,5.92494,46.2481,Central,CBNA,Dianthus sylvestris ssp sylvestris,1
173,CBNA_412183,5.92221,46.2467,Central,CBNA,Dianthus sylvestris ssp sylvestris,1
174,CBNA_412187,5.924,46.2535,Central,CBNA,Dianthus sylvestris ssp sylvestris,1
175,CBNA_412214,5.94277,46.2627,Central,CBNA,Dianthus sylvestris ssp sylvestris,1
176,CBNA_412217,5.94481,46.2598,Central,CBNA,Dianthus sylvestris ssp sylvestris,1
177,CBNA_412220,5.93871,46.2591,Central,CBNA,Dianthus sylvestris ssp sylvestris,1
178,CBNA_412223,5.93496,46.2624,Central,CBNA,Dianthus sylvestris ssp sylvestris,1
179,CBNA_412256,5.93099,46.2584,Central,CBNA,Dianthus sylvestris ssp sylvestris,1
180,CBNA_412259,5.93552,46.2637,Central,CBNA,Dianthus sylvestris ssp sylvestris,1
181,CBNA_412274,5.94323,46.2498,Central,CBNA,Dianthus sylvestris ssp sylvestris,1
182,CBNA_412299,5.93945,46.2531,Central,CBNA,Dianthus sylvestris ssp sylvestris,1
183,CBNA_412309,6.01421,46.3229,Central,CBNA,Dianthus sylvestris ssp sylvestris,1
184,CBNA_412430,5.92427,46.2473,Central,CBNA,Dianthus sylvestris ssp sylvestris,1
185,CBNA_412605,5.99249,46.2955,Central,CBNA,Dianthus sylvestris ssp sylvestris,1
186,CBNA_412613,5.99637,46.3037,Central,CBNA,Dianthus sylvestris ssp sylvestris,1
187,CBNA_412653,5.89184,46.1222,Central,CBNA,Dianthus sylvestris ssp sylvestris,1
188,CBNA_412685,6.02861,46.3184,Central,CBNA,Dianthus sylvestris ssp sylvestris,1
189,CBNA_412728,5.98921,46.3141,Central,CBNA,Dianthus sylvestris ssp sylvestris,1
190,CBNA_412729,5.99131,46.315,Central,CBNA,Dianthus sylvestris ssp sylvestris,1
191,CBNA_412733,5.99223,46.3162,Central,CBNA,Dianthus sylvestris ssp sylvestris,1
192,CBNA_412740,5.99297,46.3171,Central,CBNA,Dianthus sylvestris ssp sylvestris,1
193,CBNA_412755,5.93139,46.2496,Central,CBNA,Dianthus sylvestris ssp sylvestris,1
194,CBNA_412769,5.92706,46.2506,Central,CBNA,Dianthus sylvestris ssp sylvestris,1
195,CBNA_412779,5.92873,46.256,Central,CBNA,Dianthus sylvestris ssp sylvestris,1
196,CBNA_412783,5.93114,46.2546,Central,CBNA,Dianthus sylvestris ssp sylvestris,1
197,CBNA_412785,5.9328,46.254,Central,CBNA,Dianthus sylvestris ssp sylvestris,1
198,CBNA_412790,5.9318,46.2515,Central,CBNA,Dianthus sylvestris ssp sylvestris,1
199,CBNA_412796,5.93282,46.252,Central,CBNA,Dianthus sylvestris ssp sylvestris,1
200,CBNA_412802,5.93629,46.2512,Central,CBNA,Dianthus sylvestris ssp sylvestris,1
201,CBNA_412817,5.92645,46.2425,Central,CBNA,Dianthus sylvestris ssp sylvestris,1
202,CBNA_412819,5.9303,46.2434,Central,CBNA,Dianthus sylvestris ssp sylvestris,1
203,CBNA_412821,5.93964,46.2647,Central,CBNA,Dianthus sylvestris ssp sylvestris,1
